parameter,1_week_plan,4_week_plan,12_week_plan
pct_of_total_subscriptions,10%,70%,20%
intro_price_usd,6.93,19.99,39.99
intro_period_weeks,1,4,12
recurring_price_usd,39.99,39.99,62.99
recurring_period_weeks,4,4,12
C01,55%,67%,64%
C12,50%,65%,57%
C23,60%,70%,65%
C34,75%,75%,75%
C45,80%,80%,75%
C56,80%,80%,75%
C67,80%,80%,75%
C78,80%,80%,75%
C89,80%,80%,75%
C910,80%,80%,75%
C1011,80%,80%,75%
C1112,80%,80%,75%
first_upsell_conversion_rate,30%,30%,30%
first_upsell_price_usd,1.99,69.99,69.99
second_upsell_conversion_rate,12%,12%,12%
second_upsell_price_usd,0.99,29.99,29.99
